"","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate","Date"
"1661","Connecticut","US","2020-05-09 02:32:39","41.5978","-72.7554","32411","2874","5413","24124.0","9","909.0712753279049","120541","9389","8.867359846965536","84000009","USA","3380.9620375582667","28.968560056770848","05-08-2020"
"1662","Delaware","US","2020-05-09 02:32:39","39.3185","-75.5071","6111","301","2288","3610.0","10","627.5647898258716","28264","","3.4855179185076093","84000010","USA","2902.551336874232","","05-08-2020"
"1663","Diamond Princess","US","2020-05-09 02:32:39","","","49","0","","49.0","88888","","","","0.0","84088888","USA","","","05-08-2020"
"1664","District of Columbia","US","2020-05-09 02:32:39","38.8974","-77.0268","5899","304","825","4770.0","11","835.8495725817536","27115","","5.153415833192066","84000011","USA","3842.0174878037374","","05-08-2020"
"1665","Florida","US","2020-05-09 02:32:39","27.7663","-81.6868","39199","1669","","37530.0","12","184.6169989684733","513341","7157","4.257761677593816","84000012","USA","2417.701341041227","18.25811882956198","05-08-2020"
"1666","Georgia","US","2020-05-09 02:32:39","33.0406","-83.6431","32181","1400","","30781.0","13","317.38586323658626","227567","5935","4.3503930890898355","84000013","USA","2244.3848463118056","18.44255927410584","05-08-2020"
"1667","Grand Princess","US","2020-05-09 02:32:39","","","103","3","","100.0","99999","","","","2.912621359223301","84099999","USA","","","05-08-2020"
"1668","Guam","US","2020-05-09 02:32:39","13.4443","144.7937","151","5","122","24.0","66","91.9447844168813","3777","","3.3112582781456954","316","GUM","2299.8374221361637","","05-08-2020"
"1669","Hawaii","US","2020-05-09 02:32:39","21.0943","-157.4983","629","17","565","47.0","15","44.42761829824564","36618","74","2.7027027027027026","84000015","USA","2586.407832822192","11.764705882352942","05-08-2020"
"1670","Idaho","US","2020-05-09 02:32:39","44.2405","-114.4788","2178","67","1420","691.0","16","135.23775579836536","31270","206","3.076216712580349","84000016","USA","1941.6366500527477","9.45821854912764","05-08-2020"
"1671","Illinois","US","2020-05-09 02:32:39","40.3495","-88.9861","73760","3241","","70519.0","17","628.5121075069278","399714","","4.393980477223427","84000017","USA","3405.9800507053164","","05-08-2020"
"1672","Indiana","US","2020-05-09 02:32:39","39.8494","-86.2583","23146","1462","","21699.0","18","353.6983683053499","130128","4389","6.251620150349953","84000018","USA","1988.510380663552","18.962239695843774","05-08-2020"
"1673","Iowa","US","2020-05-09 02:32:39","42.0115","-93.2105","11457","243","4685","6529.0","19","437.1711057258082","70261","","2.1209740769835035","84000019","USA","2680.9879601467233","","05-08-2020"
"1674","Kansas","US","2020-05-09 02:32:39","38.5266","-96.7265","6667","168","332","6167.0","20","273.4071276955228","47708","608","2.519874006299685","84000020","USA","1956.458264301485","9.119544022798861","05-08-2020"
"1675","Kentucky","US","2020-05-09 02:32:39","37.6681","-84.6701","6288","298","2177","3813.0","21","183.68225073854111","81401","1684","4.739185750636132","84000021","USA","2377.8496966234075","26.78117048346056","05-08-2020"
"1676","Louisiana","US","2020-05-09 02:32:39","31.1695","-91.8678","30855","2227","20316","8312.0","22","671.1597719166131","202416","","7.21763085399449","84000022","USA","4402.964718595791","","05-08-2020"
"1677","Maine","US","2020-05-09 02:32:39","44.6939","-69.3819","1374","63","836","475.0","23","117.03517699228112","23466","194","4.585152838427947","84000023","USA","1998.7972804227577","14.119359534206696","05-08-2020"
"1678","Maryland","US","2020-05-09 02:32:39","39.0639","-76.8021","30485","1560","2041","26884.0","24","512.9275061897066","152187","5811","5.11727078891258","84000024","USA","2560.6330452515294","19.06183368869936","05-08-2020"
"1679","Massachusetts","US","2020-05-09 02:32:39","42.2302","-71.5301","75333","4702","","70631.0","25","1097.5451981796598","366023","7434","6.241620538143974","84000025","USA","5332.6800482300405","9.868185257456892","05-08-2020"
"1680","Michigan","US","2020-05-09 02:32:39","43.3266","-84.5361","46386","4399","15659","26328.0","26","582.2077580256899","260253","","9.483464838528867","84000026","USA","3266.5311872000143","","05-08-2020"
"1681","Minnesota","US","2020-05-09 02:32:39","45.6945","-93.9002","10088","534","5697","3857.0","27","203.94440776266435","101270","1549","5.2934179222839015","84000027","USA","2047.3285263803548","15.354877081681206","05-08-2020"
"1682","Mississippi","US","2020-05-09 02:32:39","32.7416","-89.6787","9090","409","4421","4260.0","28","313.9672962821989","81191","1478","4.4994499449945","84000028","USA","2804.3254953188134","16.25962596259626","05-08-2020"
"1683","Missouri","US","2020-05-09 02:32:39","38.4561","-92.2884","9762","483","","9250.0","29","166.10757039561352","108721","","4.962498715709442","84000029","USA","1855.4794165192127","","05-08-2020"
"1684","Montana","US","2020-05-09 02:32:39","46.9219","-110.4544","458","16","420","22.0","30","52.88762995287458","20945","62","3.493449781659389","84000030","USA","2418.6275313601705","13.537117903930131","05-08-2020"
"1685","Nebraska","US","2020-05-09 02:32:39","41.1254","-98.2681","7818","90","","7728.0","31","512.5643163973376","40412","","1.1511895625479662","84000031","USA","2649.4946475120505","","05-08-2020"
"1686","Nevada","US","2020-05-09 02:32:39","38.3135","-117.0554","5920","294","205","5421.0","32","196.24112066939438","53344","","4.966216216216216","84000032","USA","1768.2916116534077","","05-08-2020"
"1687","New Hampshire","US","2020-05-09 02:32:39","43.4525","-71.5639","2947","121","1165","1661.0","33","221.8879221291603","30672","308","4.105870376654225","84000033","USA","2309.3811834223293","10.451306413301662","05-08-2020"
"1688","New Jersey","US","2020-05-09 02:32:39","40.2989","-74.521","135899","8960","15642","111238.0","34","1529.3525583217652","298759","","6.595995288574794","84000034","USA","3363.573623171763","","05-08-2020"
"1689","New Mexico","US","2020-05-09 02:32:39","34.8405","-106.2485","4673","181","1125","3367.0","35","280.23433419308645","89032","760","3.8733147870746842","84000035","USA","5339.144712578402","16.263642199871605","05-08-2020"
"1690","New York","US","2020-05-09 02:32:39","42.1657","-74.9481","330407","26243","56378","247786.0","36","1959.590238434496","1121543","71679","7.942628334145463","84000036","USA","6651.689324937244","21.694152968914096","05-08-2020"
"1691","North Carolina","US","2020-05-09 02:32:39","35.6301","-79.8064","14006","530","","13476.0","37","141.21976733927377","178613","","3.7840925317720977","84000037","USA","1800.920055959568","","05-08-2020"
"1692","North Dakota","US","2020-05-09 02:32:39","47.5289","-99.78399999999999","1425","33","714","678.0","38","234.9864285031117","42501","104","2.3157894736842106","84000038","USA","7008.532068639123","7.298245614035087","05-08-2020"
